x y z u_s_num u_c_num u_s_exact u_c_exact err_s err_c
0.875 0.458333 0 0 -0.12059 0 -0.12059 0 1.38778e-17
0.916667 0.458333 0 0 -0.126079 0 -0.126079 0 2.77556e-17
0.958333 0.458333 0 0 -0.12941 0 -0.12941 0 2.77556e-17
1 0.458333 0 0 -0.130526 0 -0.130526 0 2.77556e-17
0 0.5 0 0 6.12323e-17 0 6.12323e-17 0 -1.2326e-32
0.0416667 0.5 0 0 6.07085e-17 0 6.07085e-17 0 -1.2326e-32
0.0833333 0.5 0 0 5.91459e-17 0 5.91459e-17 0 -1.2326e-32
0.125 0.5 0 0 5.65713e-17 0 5.65713e-17 0 -1.2326e-32
0.166667 0.5 0 0 5.30288e-17 0 5.30288e-17 0 -6.16298e-33
0.208333 0.5 0 0 4.85789e-17 0 4.85789e-17 0 -6.16298e-33
0.25 0.5 0 0 4.32978e-17 0 4.32978e-17 0 -6.16298e-33
0.291667 0.5 0 0 3.72759e-17 0 3.72759e-17 0 -6.16298e-33
0.333333 0.5 0 0 3.06162e-17 0 3.06162e-17 0 -6.16298e-33
0.375 0.5 0 0 2.34326e-17 0 2.34326e-17 0 -3.08149e-33
0.416667 0.5 0 0 1.58481e-17 0 1.58481e-17 0 -3.08149e-33
0.458333 0.5 0 0 7.99242e-18 0 7.99242e-18 0 -1.54074e-33
0.5 0.5 0 0 3.7494e-33 0 3.7494e-33 0 -6.84228e-49
0.541667 0.5 0 0 -7.99242e-18 0 -7.99242e-18 0 1.54074e-33
0.583333 0.5 0 0 -1.58481e-17 0 -1.58481e-17 0 3.08149e-33
0.625 0.5 0 0 -2.34326e-17 0 -2.34326e-17 0 3.08149e-33
0.666667 0.5 0 0 -3.06162e-17 0 -3.06162e-17 0 6.16298e-33
0.708333 0.5 0 0 -3.72759e-17 0 -3.72759e-17 0 6.16298e-33
0.75 0.5 0 0 -4.32978e-17 0 -4.32978e-17 0 6.16298e-33
0.791667 0.5 0 0 -4.85789e-17 0 -4.85789e-17 0 6.16298e-33
0.833333 0.5 0 0 -5.30288e-17 0 -5.30288e-17 0 6.16298e-33
0.875 0.5 0 0 -5.65713e-17 0 -5.65713e-17 0 1.2326e-32
